address;city;floor;id;latitude;longitude;price;rooms;sq;year
Ursynów ul. K³obucka;Warszawa;1.0;12867.0;521.599.734;20.990.916.185.264.200;495000.0;2.0;42.9;2020.0
Stare Miasto;Kraków;4.0;22172.0;500.590.398;1.993.716.829.792.890;399000.0;1.0;24.5;1930.0
Targówek;Warszawa;9.0;11585.0;522.751.918;210.580.854;315000.0;1.0;30.5;1973.0
Nowa Huta Czy¿yny Nowohucka 46;Kraków;1.0;30171.0;500.558.029;199.993.305;305370.0;1.0;26.1;2022.0
Podgórze Duchackie Wola Duchacka Henryka Kamieñskiego;Kraków;7.0;20826.0;500.288.704;19.956.875.299.999.900;369000.0;2.0;38.86;2021.0
Wilda;Poznañ;3.0;1124.0;523.897.748;169.174.381;435000.0;1.0;38.0;2020.0
Praga-Pó³noc Z¹bkowska;Warszawa;5.0;8609.0;522.548.127;210.478.273;1150000.0;3.0;79.0;2019.0
Ursus Królów Polskich;Warszawa;0.0;13657.0;5.224.932.145;20.993.173.619.961.600;569000.0;3.0;63.3;2005.0
Œródmieœcie;Warszawa;10.0;13009.0;522.328.098;21.019.067;9506700.0;5.0;271.6;2021.0
Targówek Turmoncka;Warszawa;0.0;12528.0;522.968.599;210.366.559;450000.0;3.0;47.5;1973.0
Krowodrza Stara Krowodrza;Kraków;2.0;21343.0;500.788.515;19.928.968;785000.0;3.0;49.41;2019.0
Grunwald ul. Budziszyñska;Poznañ;0.0;1764.0;523.932.361;168.411.942;503690.0;3.0;60.25;2021.0
Stare Miasto Pi¹tkowo;Poznañ;4.0;372.0;524.006.632;1.691.973.259.178.080;479000.0;3.0;67.3;1980.0
Mokotów ul. Wyglêdowska;Warszawa;1.0;7746.0;521.950.111;209.852.946;1228000.0;3.0;78.6;2006.0
Nowe Miasto Malta ul. Katowicka;Poznañ;1.0;5694.0;523.973.449;169.619.394;470160.0;2.0;58.77;2022.0
Podgórze Duchackie Walerego S³awka;Kraków;6.0;24119.0;500.242.313;19.959.569;419000.0;2.0;44.26;2020.0
Mokotów Aleja Lotników;Warszawa;4.0;8499.0;522.161.447;21.009.288.520.108.600;545000.0;2.0;43.0;1975.0
Stare Miasto Naramowice;Poznañ;1.0;654.0;524.496.489;169.494.082;199000.0;1.0;25.0;2021.0
Podgórze P³aszów;Kraków;1.0;24086.0;500.345.327;199.754.459;523000.0;3.0;65.38;2022.0
Bie¿anów-Prokocim Republiki Korczakowskiej;Kraków;6.0;24302.0;500.163.919;200.008.638;619000.0;3.0;62.5;2014.0
Podgórze Duchackie Wola Duchacka Adama Bochenka;Kraków;0.0;27521.0;500.127.186;199.775.244;319000.0;2.0;35.41;2021.0
Pr¹dnik Bia³y Górka Narodowa abp. Zygmunta Szczêsnego Feliñskiego;Kraków;4.0;27631.0;501.003.474;199.684.566;519000.0;2.0;55.67;2014.0
Mokotów Sadyba Jana III Sobieskiego;Warszawa;4.0;8180.0;522.174.171;210.354.469;955241.0;4.0;82.0;2021.0
Bia³o³êka Nowodwory;Warszawa;1.0;14817.0;5.235.123;209.444.889;380000.0;2.0;38.7;2001.0
Pr¹dnik Bia³y Stefana Banacha;Kraków;1.0;20790.0;501.015.333;199.640.995;528381.0;3.0;57.9;2021.0
ma³opolskie;Kraków;9.0;23132.0;500.619.474;199.368.564;532350.0;3.0;68.25;2018.0
Je¿yce ul. œw. Wawrzyñca 11;Poznañ;5.0;5042.0;524.201.252;168.956.979;905951.2;4.0;93.59;2022.0
Œródmieœcie;Warszawa;10.0;10155.0;522.328.098;21.019.067;1650000.0;4.0;160.0;2000.0
Krowodrza Kazimierza Wielkiego;Kraków;1.0;21223.0;50.073.573;199.193.678;630015.0;3.0;48.5;2020.0
Bielany ul. Josepha Conrada;Warszawa;2.0;16656.0;522.725.335;209.296.699.562.365;659000.0;4.0;68.7;1978.0
